,0,1,2,3,4,5
198,2, 48.4 , 8,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_48.4_m_819_et._1905250745,3960000,2
199,1, 51.5 , 7,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_51.5_m_720_et._1206398728,7244643,3 
200,3, 75.9 , 2,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_75.9_m_210_et._1904990663,4980000,2
201,3, 95.5 , 2,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_95.5_m_210_et._1905520626,5810000,2
202,1, 15.9 , 2,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_15.9_m_24_et._1914580355,1210000,2 
203,3, 73.1 , 19,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_73.1_m_1919_et._1916097964,4456660,2
204,2, 51.7 , 7,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_51.7_m_719_et._1932246598,2860000,1
205,0.5, 30 , 2,https://www.avito.ru/kazan/kvartiry/studiya_30_m_219_et._1856686410,1680000,1
206,0.5, 33 , 2,https://www.avito.ru/kazan/kvartiry/studiya_33_m_219_et._1889225635,2890000,2
207,2, 62 , 16,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_62_m_1618_et._1834299531,6100000,2 
208,2, 68 , 7,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_68_m_79_et._1874743311,4999999,2
209,2, 45.6 , 1,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_45.6_m_15_et._1891346504,2998000,1 
210,0.5, 18 , 4,https://www.avito.ru/kazan/kvartiry/studiya_18_m_49_et._1946002031,1640000,2
211,2, 51.4 , 7,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_51.4_m_725_et._1945990660,3883572,2
212,3, 68.7 , 7,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_68.7_m_79_et._1860593228,5790000,2 
213,3, 116 , 3,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_116_m_315_et._1943906320,8500000,3
